SerialNum,Name,Deaths,Damages,EvacuationDate,FirstHurricaneWarning
2005236N23285,KATRINA,1200,108000,8/28/2005,8/25/2005
2012296N14283,SANDY,147,75000,10/26/2012,10/24/2012
2008238N14293,GUSTAV,112,4618,,
2008241N19303,HANNA,500,160,9/5/2008,9/1/2008
2008245N17323,IKE,103,29520,,
2007244N12303,FELIX,130,0,,
2007297N18300,NOEL,163,0,,
2005275N19274,STAN,80,0,,
2004247N10332,IVAN,92,18820,,
2004258N16300,JEANNE,3000,7660,,
1998259N10335,GEORGES,602,2765,,
1998295N12284,MITCH,9086,40,,
1994313N12278,GORDON,1145,400,,
1993217N10320,BRET,184,0,,
1992230N11325,ANDREW,26,26500,,
1991228N26286,BOB,17,1500,,
1990216N13281,DIANA,96,0,,
1994181N22276,ALBERTO,30,500,,
1995212N22287,ERIN,6,700,,
1995271N19273,OPAL,59,5142,,
1996187N10326,BERTHA,12,270,,
1996237N14339,FRAN,34,4160,,
1996279N23264,JOSEPHINE,0,130,,
1997198N27267,DANNY,5,100,,
1998232N15312,BONNIE,3,720,,
1998244N22267,EARL,3,700,,
1998252N26266,FRANCES,1,500,,
1999236N22292,DENNIS,4,157,,
1999251N15314,FLOYD,57,6900,,
1999286N16278,IRENE,0,800,,
2001157N28265,ALLISON,41,9000,,
2001255N26276,GABRIELLE,2,230,,
2002258N10300,ISIDORE,5,330,,
2002265N10315,LILI,13,925,,
2003188N11307,CLAUDETTE,1,180,,
2003249N14329,ISABEL,17,5370,,
2004223N11301,CHARLEY,15,15113,,
2004238N11325,FRANCES,8,9507,,
2004241N32282,GASTON,8,130,,
2005185N18273,CINDY,1,320,,
2005186N12299,DENNIS,42,2545,,
2005261N21290,RITA,7,12037,,
2005289N18282,WILMA,23,21007,,
2006237N13298,ERNESTO,5,500,,
2008203N18276,DOLLY,1,1050,,
2008229N18293,FAY,13,180,,
2010247N15266,HERMINE,6,240,,
2010255N13340,JULIA,0,150,,
2012176N26272,DEBBY,7,309,,
2012215N12313,ERNESTO,7,174,,
2012234N16315,ISAAC,34,2390,,
2013255N19268,INGRID,23,1500,,
1980214N11330,ALLEN,259,300,,
1982241N14338,BERYL,115,0,,
1983228N27270,ALICIA,21,2000,,
1985240N20286,ELENA,4,1250,,
1985260N13336,GLORIA,8,900,,
1985280N18291,ISABEL,180,0,,
1985299N25270,JUAN,12,1500,,
1988253N12306,GILBERT,327,50,,
1988285N09318,JOAN,216,0,,
1989176N27264,ALLISON,11,500,,
1989212N23270,CHANTAL,13,100,,
1989254N13340,HUGO,56,700,,
1970212N19278,CELIA,0,930,,
1971233N12313,DORIA,6,147,,
1972167N20271,AGNES,129,2100,,
1974241N17304,CARMEN,1,150,,
1974258N15295,FIFI,8000,0,,
1975256N18306,ELOISE,80,490,,
1976219N26287,BELLE,0,100,,
1979197N13314,CLAUDETTE,2,400,,
1979238N12324,DAVID,2068,320,,
1979241N11335,FREDERIC,12,2300,,
1900239N15318,GALVESTON,12000,30,,
1903252N21288,UNNAMED,188,0,,
1906263N12283,UNNAMED,134,0,,
1906281N11284,UNNAMED,193,0,,
1909264N21088,UNNAMED,1500,0,,
1909280N11284,UNNAMED,130,0,,
1919245N33287,UNNAMED,600,22,,
1926287N12279,UNNAMED,709,0,,
1928250N14343,UNNAMED,3411,0,,
1932304N15305,UNNAMED,3107,0,,
1934156N17273,UNNAMED,3000,3,,
1935292N13279,UNNAMED,2150,0,,
1938253N13314,UNNAMED,682,306,,
1952295N11282,FOX,600,0,,
1954278N12302,HAZEL,1000,281,,
1955265N13307,JANET,681,0,,
1957176N21267,AUDREY,416,150,,
1963270N08327,FLORA,8000,0,,
1966265N10325,INEZ,1000,5,,
1899215N18130,UNNAMED,3369,0,,
1893228N32300,UNNAMED,2500,0,,
1893271N16278,UNNAMED,2000,0,,
1969226N18280,CAMILLE,259,1421,,
1964234N13316,CLEO,217,128,,
1955219N16319,DIANE,200,832,,
1961301N12279,HATTIE,275,0,,
